"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2020","2020","tonnes","5.8395811E7","1"
"QCL","Crops and livestock products","9","Argentina","5510","Production","236","Soybeans","2020","2020","tonnes","4.8796661E7","2"
"QCL","Crops and livestock products","9","Argentina","5510","Production","15","Wheat","2020","2020","tonnes","1.9776942E7","3"
"QCL","Crops and livestock products","9","Argentina","5510","Production","156","Sugar cane","2020","2020","tonnes","1.8045886E7","4"
"QCL","Crops and livestock products","9","Argentina","5510","Production","882","Milk, whole fresh cow","2020","2020","tonnes","1.1113188E7","5"
"QCL","Crops and livestock products","9","Argentina","5510","Production","44","Barley","2020","2020","tonnes","4483062.0","6"
"QCL","Crops and livestock products","9","Argentina","5510","Production","267","Sunflower seed","2020","2020","tonnes","3232649.0","7"
"QCL","Crops and livestock products","9","Argentina","5510","Production","867","Meat, cattle","2020","2020","tonnes","3168472.0","8"
"QCL","Crops and livestock products","9","Argentina","5510","Production","116","Potatoes","2020","2020","tonnes","2426526.0","9"
"QCL","Crops and livestock products","9","Argentina","5510","Production","1058","Meat, chicken","2020","2020","tonnes","2219238.0","10"
